
>>>>> 1.8.7
22:55:10 ResolveAddress
22:55:10 ReadFile
22:55:11 ReadFile
22:55:11 ReadFile
22:55:12 ReadFile
22:55:12 ReadFile
22:55:13 ReadFile
22:55:13 ReadFile
22:55:14 ReadFile
22:55:14 ReadFile
22:55:16 ReadFile
22:55:22 ResolveAddress
22:55:28 ResolveAddress
22:55:34 ResolveAddress
22:55:40 ResolveAddress
22:55:46 ResolveAddress
22:55:52 ResolveAddress
22:55:58 ResolveAddress
22:56:04 ResolveAddress
22:56:10 ResolveAddress
22:56:10 Done.

>>>>> 1.9.7
22:56:10 ResolveAddress
22:56:10 ReadFile
22:56:11 ReadFile
22:56:11 ReadFile
22:56:12 ReadFile
22:56:12 ReadFile
22:56:13 ReadFile
22:56:13 ReadFile
22:56:14 ReadFile
22:56:14 ReadFile
22:56:16 ReadFile
22:56:22 ResolveAddress
22:56:28 ResolveAddress
22:56:34 ResolveAddress
22:56:40 ResolveAddress
22:56:46 ResolveAddress
22:56:52 ResolveAddress
22:56:58 ResolveAddress
22:57:04 ResolveAddress
22:57:10 ResolveAddress
22:57:10 Done.

>>>>> 1.10.4
22:57:10 ResolveAddress
22:57:11 ReadFile
22:57:11 ReadFile
22:57:12 ReadFile
22:57:12 ReadFile
22:57:13 ReadFile
22:57:13 ReadFile
22:57:14 ReadFile
22:57:14 ReadFile
22:57:15 ReadFile
22:57:16 ReadFile
22:57:22 ResolveAddress
22:57:28 ResolveAddress
22:57:34 ResolveAddress
22:57:40 ResolveAddress
22:57:46 ResolveAddress
22:57:52 ResolveAddress
22:57:58 ResolveAddress
22:58:04 ResolveAddress
22:58:10 ResolveAddress
22:58:10 Done.

>>>>> 1.11
22:58:10 ResolveAddress
22:58:11 ReadFile
22:58:11 ReadFile
22:58:12 ReadFile
22:58:12 ReadFile
22:58:13 ReadFile
22:58:13 ReadFile
22:58:14 ReadFile
22:58:14 ReadFile
22:58:15 ReadFile
22:58:16 ReadFile
22:58:22 ResolveAddress
22:58:28 ResolveAddress
22:58:34 ResolveAddress
22:58:40 ResolveAddress
22:58:46 ResolveAddress
22:58:52 ResolveAddress
22:58:58 ResolveAddress
22:59:04 ResolveAddress
22:59:10 ResolveAddress
22:59:10 Done.
