
>>>>> 1.8.7
22:59:11 ResolveAddress
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 Done.

>>>>> 1.9.7
22:59:11 ResolveAddress
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 Done.

>>>>> 1.10.4
22:59:11 ResolveAddress
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ReadFile
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 ResolveAddress
22:59:11 Done.

>>>>> 1.11
22:59:12 ResolveAddress
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ReadFile
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 ResolveAddress
22:59:12 Done.
