
>>>>> 1.8.7
22:59:12 ResolveAddress
22:59:13 ReadFile
22:59:14 ReadFile
22:59:15 ReadFile
22:59:16 ReadFile
22:59:17 ReadFile
22:59:18 ReadFile
22:59:19 ReadFile
22:59:20 ReadFile
22:59:21 ReadFile
22:59:22 ReadFile
22:59:23 ResolveAddress
22:59:24 ResolveAddress
22:59:25 ResolveAddress
22:59:26 ResolveAddress
22:59:27 ResolveAddress
22:59:28 ResolveAddress
22:59:29 ResolveAddress
22:59:30 ResolveAddress
22:59:31 ResolveAddress
22:59:31 Done.

>>>>> 1.9.7
22:59:31 ResolveAddress
22:59:32 ReadFile
22:59:33 ReadFile
22:59:34 ReadFile
22:59:35 ReadFile
22:59:36 ReadFile
22:59:37 ReadFile
22:59:38 ReadFile
22:59:39 ReadFile
22:59:40 ReadFile
22:59:41 ReadFile
22:59:42 ResolveAddress
22:59:43 ResolveAddress
22:59:44 ResolveAddress
22:59:45 ResolveAddress
22:59:46 ResolveAddress
22:59:47 ResolveAddress
22:59:48 ResolveAddress
22:59:49 ResolveAddress
22:59:50 ResolveAddress
22:59:50 Done.

>>>>> 1.10.4
22:59:50 ResolveAddress
22:59:51 ReadFile
22:59:52 ReadFile
22:59:53 ReadFile
22:59:54 ReadFile
22:59:55 ReadFile
22:59:56 ReadFile
22:59:57 ReadFile
22:59:58 ReadFile
22:59:59 ReadFile
23:00:00 ReadFile
23:00:01 ResolveAddress
23:00:02 ResolveAddress
23:00:03 ResolveAddress
23:00:04 ResolveAddress
23:00:05 ResolveAddress
23:00:06 ResolveAddress
23:00:07 ResolveAddress
23:00:08 ResolveAddress
23:00:09 ResolveAddress
23:00:09 Done.

>>>>> 1.11
23:00:10 ResolveAddress
23:00:11 ReadFile
23:00:12 ReadFile
23:00:13 ReadFile
23:00:14 ReadFile
23:00:15 ReadFile
23:00:16 ReadFile
23:00:17 ReadFile
23:00:18 ReadFile
23:00:19 ReadFile
23:00:20 ReadFile
23:00:21 ResolveAddress
23:00:22 ResolveAddress
23:00:23 ResolveAddress
23:00:24 ResolveAddress
23:00:25 ResolveAddress
23:00:26 ResolveAddress
23:00:27 ResolveAddress
23:00:28 ResolveAddress
23:00:29 ResolveAddress
23:00:29 Done.
