
>>>>> 1.6.4
concurrency-at-scale/rate-limiting/fig-multi-rate-limit.go:4:2: cannot find package "context" in any of:
	/opt/go/go1.6.4/src/context (from $GOROOT)
	/home/demo/concurrency-in-go-src/gopath/1.6.4/src/context (from $GOPATH)

>>>>> 1.7.6
# command-line-arguments
concurrency-at-scale/rate-limiting/fig-multi-rate-limit.go:86: undefined: sort.Slice

>>>>> 1.8.7
11:56:48 ResolveAddress
11:56:49 ReadFile
11:56:49 ReadFile
11:56:50 ReadFile
11:56:50 ReadFile
11:56:51 ReadFile
11:56:51 ReadFile
11:56:52 ReadFile
11:56:52 ResolveAddress
11:56:53 ReadFile
11:56:54 ResolveAddress
11:57:00 ResolveAddress
11:57:06 ReadFile
11:57:12 ResolveAddress
11:57:18 ResolveAddress
11:57:24 ReadFile
11:57:30 ResolveAddress
11:57:36 ResolveAddress
11:57:42 ResolveAddress
11:57:48 ResolveAddress
11:57:48 Done.

>>>>> 1.9.7
11:57:48 ResolveAddress
11:57:49 ReadFile
11:57:49 ReadFile
11:57:50 ResolveAddress
11:57:50 ResolveAddress
11:57:51 ReadFile
11:57:51 ReadFile
11:57:52 ResolveAddress
11:57:52 ReadFile
11:57:53 ResolveAddress
11:57:54 ReadFile
11:58:00 ReadFile
11:58:06 ResolveAddress
11:58:12 ResolveAddress
11:58:18 ResolveAddress
11:58:24 ReadFile
11:58:30 ReadFile
11:58:36 ResolveAddress
11:58:42 ReadFile
11:58:48 ResolveAddress
11:58:48 Done.

>>>>> 1.10.4
11:58:48 ReadFile
11:58:49 ResolveAddress
11:58:49 ReadFile
11:58:50 ReadFile
11:58:50 ResolveAddress
11:58:51 ReadFile
11:58:51 ResolveAddress
11:58:52 ResolveAddress
11:58:52 ResolveAddress
11:58:53 ResolveAddress
11:58:54 ReadFile
11:59:00 ReadFile
11:59:06 ReadFile
11:59:12 ReadFile
11:59:18 ResolveAddress
11:59:24 ResolveAddress
11:59:30 ResolveAddress
11:59:36 ReadFile
11:59:42 ReadFile
11:59:48 ResolveAddress
11:59:48 Done.

>>>>> 1.11.1
11:59:49 ResolveAddress
11:59:49 ReadFile
11:59:50 ReadFile
11:59:50 ResolveAddress
11:59:51 ResolveAddress
11:59:51 ReadFile
11:59:52 ResolveAddress
11:59:52 ReadFile
11:59:53 ResolveAddress
11:59:53 ResolveAddress
11:59:55 ReadFile
12:00:01 ReadFile
12:00:07 ResolveAddress
12:00:13 ReadFile
12:00:19 ResolveAddress
12:00:25 ReadFile
12:00:31 ReadFile
12:00:37 ReadFile
12:00:43 ResolveAddress
12:00:49 ResolveAddress
12:00:49 Done.
