
>>>>> 1.6.4
concurrency-at-scale/rate-limiting/fig-no-rate-limit.go:4:2: cannot find package "context" in any of:
	/opt/go/go1.6.4/src/context (from $GOROOT)
	/home/demo/concurrency-in-go-src/gopath/1.6.4/src/context (from $GOPATH)

>>>>> 1.7.6
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 Done.

>>>>> 1.8.7
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 Done.

>>>>> 1.9.7
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 Done.

>>>>> 1.10.4
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ResolveAddress
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 ReadFile
15:05:13 Done.

>>>>> 1.11.1
15:05:14 ResolveAddress
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ResolveAddress
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ResolveAddress
15:05:14 ResolveAddress
15:05:14 ResolveAddress
15:05:14 ResolveAddress
15:05:14 ResolveAddress
15:05:14 ReadFile
15:05:14 ReadFile
15:05:14 ResolveAddress
15:05:14 ResolveAddress
15:05:14 ResolveAddress
15:05:14 Done.
