
>>>>> 1.6.4
concurrency-at-scale/rate-limiting/fig-simple-rate-limit.go:4:2: cannot find package "context" in any of:
	/opt/go/go1.6.4/src/context (from $GOROOT)
	/home/demo/concurrency-in-go-src/gopath/1.6.4/src/context (from $GOPATH)

>>>>> 1.7.6
12:00:50 ReadFile
12:00:51 ResolveAddress
12:00:52 ReadFile
12:00:53 ReadFile
12:00:54 ResolveAddress
12:00:55 ReadFile
12:00:56 ReadFile
12:00:57 ResolveAddress
12:00:58 ReadFile
12:00:59 ResolveAddress
12:01:00 ResolveAddress
12:01:01 ResolveAddress
12:01:02 ReadFile
12:01:03 ResolveAddress
12:01:04 ResolveAddress
12:01:05 ReadFile
12:01:06 ResolveAddress
12:01:07 ReadFile
12:01:08 ResolveAddress
12:01:09 ReadFile
12:01:09 Done.

>>>>> 1.8.7
12:01:09 ResolveAddress
12:01:10 ReadFile
12:01:11 ReadFile
12:01:12 ResolveAddress
12:01:13 ReadFile
12:01:14 ReadFile
12:01:15 ReadFile
12:01:16 ResolveAddress
12:01:17 ReadFile
12:01:18 ResolveAddress
12:01:19 ResolveAddress
12:01:20 ReadFile
12:01:21 ResolveAddress
12:01:22 ReadFile
12:01:23 ReadFile
12:01:24 ResolveAddress
12:01:25 ResolveAddress
12:01:26 ResolveAddress
12:01:27 ResolveAddress
12:01:28 ReadFile
12:01:28 Done.

>>>>> 1.9.7
12:01:28 ReadFile
12:01:29 ResolveAddress
12:01:30 ResolveAddress
12:01:31 ReadFile
12:01:32 ReadFile
12:01:33 ReadFile
12:01:34 ReadFile
12:01:35 ReadFile
12:01:36 ReadFile
12:01:37 ReadFile
12:01:38 ResolveAddress
12:01:39 ReadFile
12:01:40 ReadFile
12:01:41 ResolveAddress
12:01:42 ResolveAddress
12:01:43 ResolveAddress
12:01:44 ResolveAddress
12:01:45 ResolveAddress
12:01:46 ResolveAddress
12:01:47 ResolveAddress
12:01:47 Done.

>>>>> 1.10.4
12:01:48 ResolveAddress
12:01:49 ReadFile
12:01:50 ReadFile
12:01:51 ResolveAddress
12:01:52 ReadFile
12:01:53 ResolveAddress
12:01:54 ReadFile
12:01:55 ResolveAddress
12:01:56 ResolveAddress
12:01:57 ResolveAddress
12:01:58 ResolveAddress
12:01:59 ReadFile
12:02:00 ResolveAddress
12:02:01 ReadFile
12:02:02 ReadFile
12:02:03 ResolveAddress
12:02:04 ReadFile
12:02:05 ResolveAddress
12:02:06 ReadFile
12:02:07 ReadFile
12:02:07 Done.

>>>>> 1.11.1
12:02:07 ResolveAddress
12:02:08 ReadFile
12:02:09 ReadFile
12:02:10 ReadFile
12:02:11 ReadFile
12:02:12 ResolveAddress
12:02:13 ResolveAddress
12:02:14 ResolveAddress
12:02:15 ResolveAddress
12:02:16 ResolveAddress
12:02:17 ReadFile
12:02:18 ReadFile
12:02:19 ReadFile
12:02:20 ReadFile
12:02:21 ResolveAddress
12:02:22 ResolveAddress
12:02:23 ResolveAddress
12:02:24 ResolveAddress
12:02:25 ReadFile
12:02:26 ReadFile
12:02:26 Done.
